レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,選手名,チーム名,水路,時間,大会新,飛込タイム,LAPタイム
No.1,女子,200m自由形,2:02.35,2:04.62,30~34歳,2:20.79,1,長谷川恵,セ・阿佐谷,8/8,2:36.58,,0.87,"35.29,1:14.20,1:55.21"
No.1,女子,200m自由形,2:02.35,2:04.62,30~34歳,2:20.79,2,中山翠,ザノス川崎,5/10,3:10.41,,0.91,"41.95,1:30.22,2:21.56"
No.1,女子,200m自由形,2:04.56,2:06.81,25~29歳,2:20.67,1,竹下菜々美,セ・二俣川,8/2,2:25.11,,0.66,"33.29,1:10.02,1:47.75"
No.1,女子,200m自由形,2:04.56,2:06.81,25~29歳,2:20.67,2,川俣星,セ・新都心,8/4,2:31.38,,0.73,"33.77,1:11.63,1:51.53"
No.1,女子,200m自由形,2:04.56,2:06.81,25~29歳,2:20.67,3,新後海優,セ・トレッサ,8/6,2:32.34,,0.89,"31.51,1:07.39,1:48.60"
No.1,女子,200m自由形,2:04.56,2:06.81,25~29歳,2:20.67,4,村岡礼奈,セ・桶川北本,7/2,2:55.75,,0.76,"38.48,1:21.44,2:08.21"
No.1,女子,200m自由形,2:04.56,2:04.32,18~24歳,2:17.69,1,渡辺美楓,セ・谷津,8/5,2:16.87,大会新,0.67,"31.6,1:06.79,1:42.48"
No.1,女子,200m自由形,2:04.56,2:04.32,18~24歳,2:17.69,2,広瀬幸音,セ・成城,8/1,2:32.16,,0.76,"33.94,1:12.31,1:52.42"
No.2,男子,200m自由形,3:03.50,3:10.33,85~89歳,3:35.53,1,川本剛,セ・長沼,1/8,3:46.84,,1.10,"51.34,1:47.83,2:48.46"
No.2,男子,200m自由形,2:40.22,2:40.87,80~84歳,3:39.71,1,眞壁功,セ・藤沢,1/10,3:45.81,,0.99,"52.27,1:50.05,2:47.61"
No.2,男子,200m自由形,2:25.66,2:33.87,75~79歳,2:51.26,1,嶋﨑昭夫,セ・西東京,1/3,3:31.90,,0.94,"42.37,1:32.94,2:31.34"
No.2,男子,200m自由形,2:22.88,2:22.88,70~74歳,2:44.09,1,若宮強,セ・成城,2/4,3:00.17,,0.76,"41.26,1:27.30,2:16.00"
No.2,男子,200m自由形,2:22.88,2:22.88,70~74歳,2:44.09,2,菱沼和男,セ・葛西,2/2,3:19.08,,0.87,"48.42,1:39.56,2:30.17"
No.2,男子,200m自由形,2:22.88,2:22.88,70~74歳,2:44.09,3,森下善夫,セ・大宮宮原,1/2,3:35.42,,1.03,"48.87,1:42.80,2:40.49"
No.2,男子,200m自由形,2:09.39,2:19.96,65~69歳,2:26.86,1,吉原一彦,セ・阿佐谷,6/8,2:31.29,,0.79,"35.77,1:14.95,1:53.85"
No.2,男子,200m自由形,2:09.39,2:19.96,65~69歳,2:26.86,2,柏木治久,セ・成瀬,2/7,3:01.71,,0.86,"43.38,1:29.96,2:18.29"
No.2,男子,200m自由形,2:09.39,2:19.96,65~69歳,2:26.86,3,井上昌臣,セ・西東京,1/5,3:05.18,,0.98,"39.64,1:24.06,2:13.95"
No.2,男子,200m自由形,2:09.39,2:19.96,65~69歳,2:26.86,4,臼井全人,セ・大宮宮原,2/3,3:14.52,,0.98,"45.84,1:35.03,2:25.73"
No.2,男子,200m自由形,2:09.39,2:19.96,65~69歳,2:26.86,5,折居彰,セ・阿佐谷,1/9,3:29.30,,1.28,"48.93,1:41.33,2:36.38"
No.2,男子,200m自由形,2:09.39,2:19.96,65~69歳,2:26.86,6,中井岳郎,セ・成城,2/10,3:40.54,,0.85,"43.35,1:37.96,2:39.45"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,1,渡部佳彦,セ・市川,6/10,2:27.77,,0.70,"34.31,1:12.51,1:50.35"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,2,下家成人,セ・二俣川,5/7,2:34.32,,0.75,"33.82,1:12.36,1:52.74"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,3,久保田勝己,セ・阿佐谷,5/10,2:40.06,,0.84,"38.02,1:18.60,2:00.86"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,4,神尾尚人,セ・市ヶ尾,4/7,2:40.50,,0.68,"37.46,1:18.71,2:00.62"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,5,若島健二,セ・二俣川,4/1,2:47.51,,0.89,"38.9,1:21.24,2:04.38"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,6,池谷千尋,セ・長津田,3/7,2:53.55,,0.73,"39.92,1:23.41,2:09.30"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,7,名田裕,セ・稲毛海岸,3/3,3:06.09,,0.96,"41.6,1:28.00,2:17.94"
No.2,男子,200m自由形,2:07.68,2:17.26,60~64歳,2:27.29,8,山本和巳,セ・茂原,2/9,3:07.17,,0.78,"43.29,1:30.15,2:19.51"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,1,矢部裕之,セ・長津田,6/3,2:23.97,,0.77,"32.93,1:09.47,1:46.77"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,2,中村勝,セ・南千住,5/5,2:29.74,,0.71,"34.52,1:12.40,1:51.49"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,3,宮木幸彦,セ・葛西,4/9,2:39.30,,0.78,"36.48,1:16.99,1:58.91"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,4,宮川則仁,セ・大宮宮原,4/3,2:42.28,,0.82,"36.82,1:17.37,2:00.13"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,5,塚本幸治,セ・千葉みなと,5/1,2:45.07,,0.83,"37.42,1:18.41,2:01.75"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,6,本間丈博,セ・稲毛海岸,4/4,2:46.45,,0.79,"37.8,1:18.77,2:03.01"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,7,永家一徳,セ・市川,4/2,2:50.69,,0.81,"39.47,1:22.68,2:08.07"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,8,中島茂,セ・s湘南台,3/2,2:57.95,,0.83,"39.76,1:23.52,2:09.85"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,9,近藤正之,セ・上池袋,3/1,3:00.01,,1.03,"38.42,1:22.38,2:10.65"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,10,吉峯幸郎,セ・用賀,3/10,3:03.41,,0.97,"40.97,1:27.18,2:15.89"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,11,高田義久,セ・八王子,3/9,3:08.18,,0.71,"38.7,1:24.99,2:16.59"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,12,大塚秀幸,セ・慶應日吉,2/5,3:11.70,,0.88,"41.03,1:28.24,2:19.54"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,13,萱沼憲司郎,セ・茂原,2/1,3:18.94,,0.91,"44.17,1:34.02,2:28.13"
No.2,男子,200m自由形,2:04.01,2:08.62,55~59歳,2:19.70,14,佐藤流生,セ・天王洲,1/7,3:44.44,,0.97,"47.04,1:41.84,2:43.06"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,1,田窪達,セ・市ヶ尾,8/2,2:14.24,大会新,0.65,"29.41,1:02.63,1:37.28"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,2,山田耕一,セ・清瀬,5/4,2:28.01,,0.75,"34.7,1:12.63,1:51.85"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,3,石上智啓,セ・二俣川,6/9,2:30.76,,0.74,"35.77,1:14.58,1:53.93"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,4,渡部弘一,セ・市川,5/6,2:31.84,,0.77,"33.7,1:13.18,1:53.72"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,5,清田真人,セ・大宮宮原,4/10,2:38.56,,0.67,"36.97,1:18.80,2:00.11"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,6,山田大介,セ・武蔵小杉,5/8,2:38.81,,0.79,"36.98,1:17.10,1:58.16"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,7,渡誠,セ・清瀬,5/9,2:41.61,,0.85,"36.29,1:16.20,2:00.01"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,8,山本英男,セ・大宮宮原,3/6,2:42.25,,0.75,"37.33,1:18.47,2:01.03"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,9,塚越有宏,セ・市ヶ尾,2/6,2:50.97,,0.85,"39.42,1:22.52,2:07.92"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,10,岩崎明,セ・前橋,4/6,2:57.74,,0.92,"40.46,1:25.87,2:13.30"
No.2,男子,200m自由形,1:58.62,2:03.51,50~54歳,2:16.38,11,今井英大,セ・川越,1/1,3:28.62,,1.20,"46.44,1:36.38,2:33.70"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,1,山岡拓馬,セ・清瀬,8/5,2:07.04,大会新,0.71,"28.81,1:01.58,1:35.63"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,2,永瀬知之,セ・二俣川,7/8,2:21.00,,0.77,"31.39,1:07.30,1:44.39"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,3,花井一也,セ・長津田,6/5,2:24.64,,0.69,"33.15,1:08.95,1:47.06"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,4,桐本兼輔,セ・福生,6/1,2:26.80,,0.71,"32.9,1:10.13,1:48.45"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,5,皆川雅登,セ・大宮宮原,6/4,2:38.08,,0.90,"37.11,1:17.41,1:58.96"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,6,齊藤仁,セ・茂原,4/8,2:40.57,,0.70,"35.91,1:15.67,1:58.03"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,7,古屋俊一,セ・ときわ台,5/2,2:52.77,,0.86,"36.03,1:18.60,2:03.87"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,8,志水剛,セ・大宮宮原,1/6,3:16.03,,0.98,"43.17,1:34.49,2:26.44"
No.2,男子,200m自由形,1:55.39,1:58.36,45~49歳,2:10.91,9,櫻井直仁,セ・清瀬,2/8,3:29.04,,1.00,"47.98,1:40.06,2:33.63"
No.2,男子,200m自由形,1:53.65,1:59.07,40~44歳,2:07.37,1,前田崇行,セ・二俣川,8/8,2:13.24,,0.68,"29.5,1:02.90,1:38.52"
No.2,男子,200m自由形,1:53.65,1:59.07,40~44歳,2:07.37,2,石井将太,セ・成瀬,7/4,2:15.46,,0.80,"30.77,1:04.41,1:39.29"
No.2,男子,200m自由形,1:53.65,1:59.07,40~44歳,2:07.37,3,森本祐一,セ・清瀬,7/9,2:19.61,,0.78,"33.15,1:09.28,1:45.04"
No.2,男子,200m自由形,1:53.65,1:59.07,40~44歳,2:07.37,4,大作善祥,セ・柏,6/6,2:29.90,,0.94,"33.58,1:11.14,1:49.98"
No.2,男子,200m自由形,1:53.65,1:59.07,40~44歳,2:07.37,5,田子晃,セ・自由が丘,4/5,2:41.72,,0.80,"36.18,1:16.92,1:59.60"
No.2,男子,200m自由形,1:53.65,1:59.07,40~44歳,2:07.37,6,和田祐児,セ・松戸,3/8,2:54.04,,0.81,"39.16,1:23.65,2:09.03"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,1,高木祥一,セ・武蔵小杉,8/4,2:08.11,,0.76,"29.43,1:01.84,1:35.73"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,2,岩本和也,セ・志木,7/5,2:12.87,,0.70,"30.74,1:04.55,1:39.10"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,3,奥平竜司,セ・武蔵小杉,7/2,2:13.60,,0.65,"29.54,1:02.84,1:38.28"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,4,長田裕史,セ・柏,7/6,2:19.32,,0.65,"32.12,1:07.23,1:43.61"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,5,高津周平,セ・武蔵小杉,7/10,2:23.43,,0.69,"31.2,1:07.66,1:45.27"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,6,浅生真,セ・市川,3/4,2:38.64,,0.76,"34.94,1:13.18,1:55.14"
No.2,男子,200m自由形,1:51.84,1:51.84,35~39歳,2:03.40,7,和田亮,セ・阿佐谷,6/2,2:43.12,,0.78,"35.78,1:15.43,1:59.07"
No.2,男子,200m自由形,1:49.56,1:54.32,30~34歳,2:03.39,1,中西剛,セ・成城,8/7,2:07.68,,0.68,"29.25,1:00.99,1:34.35"
No.2,男子,200m自由形,1:49.56,1:54.32,30~34歳,2:03.39,2,村田健太,セ・二俣川,8/3,2:09.05,,0.69,"29.93,1:02.79,1:36.60"
No.2,男子,200m自由形,1:49.56,1:54.32,30~34歳,2:03.39,3,山田義明,セ・おおたか,1/4,3:01.48,,0.95,"38.83,1:23.12,2:12.83"
No.2,男子,200m自由形,1:50.76,1:53.81,25~29歳,2:02.30,1,小野健,セ・天王洲,8/9,2:11.89,,0.68,"30.2,1:02.74,1:37.06"
No.2,男子,200m自由形,1:50.76,1:53.81,25~29歳,2:02.30,2,泉翔太,セ・葛西,7/7,2:22.32,,0.70,"33.08,1:08.79,1:45.17"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,1,菅原啓,セ・慶應日吉,8/6,2:05.22,,0.72,"28.14,59.89,1:32.84"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,2,黒田大介,セ・成城,8/1,2:10.23,,0.67,"29.02,1:00.81,1:34.82"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,3,柿沼龍史,セ・成城,6/7,2:15.27,,0.62,"29.69,1:03.38,1:38.77"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,4,山浦信,セ・成城,8/10,2:16.61,,0.71,"31.08,1:05.47,1:40.65"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,5,木村隼人,セ・八王子,7/1,2:19.40,,0.64,"28.35,1:01.88,1:39.01"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,6,田中啓二朗,セ・二俣川,7/3,2:19.75,,0.67,"30.96,1:06.15,1:42.78"
No.2,男子,200m自由形,1:50.76,1:50.21,18~24歳,1:55.00,7,日吉将輝,セ・大宮宮原,5/3,2:21.32,,0.71,"30.09,1:04.75,1:42.30"
No.7,女子,200m個人メドレ-,3:53.63,4:07.83,80~84歳,5:04.74,1,小野洋子,セ・我孫子,1/3,5:29.40,,1.05,"1:07.51,2:30.91,4:19.13"
No.7,女子,200m個人メドレ-,3:21.84,3:32.94,75~79歳,4:12.78,1,大山恵子,セ・葛西,2/5,4:01.15,大会新,0.79,"47.02,1:57.53,3:08.36"
No.7,女子,200m個人メドレ-,3:00.96,3:13.19,70~74歳,3:38.48,1,青木華世子,セ・松戸,4/8,3:34.64,大会新,0.81,"46.03,1:41.41,2:46.04"
No.7,女子,200m個人メドレ-,3:00.96,3:13.19,70~74歳,3:38.48,2,菅和江,セ・戸塚,2/7,4:26.19,,1.05,"1:01.63,2:09.18,3:28.25"
No.7,女子,200m個人メドレ-,3:00.96,3:13.19,70~74歳,3:38.48,3,松木真知子,セ・ときわ台,1/7,4:56.87,,0.97,"1:15.29,2:34.52,3:48.87"
No.7,女子,200m個人メドレ-,3:00.96,3:13.19,70~74歳,3:38.48,4,菅井道子,セ・戸塚,2/8,5:12.77,,1.17,"1:15.11,2:42.35,4:03.39"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,1,森谷登志江,セ・慶應日吉,3/5,3:46.97,,0.88,"53.18,1:51.88,2:56.38"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,2,井手敦子,セ・慶應日吉,3/7,3:50.01,,1.01,"53.94,1:54.00,3:00.80"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,3,育村博子,セ・おおたか,3/2,4:02.06,,0.96,"59.78,2:06.76,3:11.39"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,4,福森公子,セ・育見台,3/1,4:07.74,,1.00,"56.43,2:04.56,3:12.60"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,5,相馬絹代,セ・溝ノ口,3/3,4:18.14,,0.79,"59.38,2:06.88,3:17.98"
