種別,No,種目,年齢区分,順位,氏名_チーム名,所属_合計年齢,水路,時間,備考,メンバー1,メンバー2,メンバー3,メンバー4
総合,,総合成績,,62,セントラルフィットネスクラブ下北沢,21.0点,,,,,,,
総合,,総合成績,,63,セントラルフィットネスクラブ宇都宮,19.0点,,,,,,,
総合,,総合成績,,64,セントラルスポーツクラブ岩槻,12.0点,,,,,,,
総合,,総合成績,,64,セントラルウェルネスクラブ24久喜,12.0点,,,,,,,
総合,,総合成績,,64,セントラルフィットネスクラブ青砥,12.0点,,,,,,,
総合,,総合成績,,64,ザバススポーツクラブ藤が丘,12.0点,,,,,,,
総合,,総合成績,,68,セントラルウェルネスクラブ東十条,11.0点,,,,,,,
総合,,総合成績,,69,セントラルフィットネスクラブ溝ノ口,10.0点,,,,,,,
総合,,総合成績,,70,セントラルフィットネスクラブ越谷レイクタウン,7.0点,,,,,,,
総合,,総合成績,,71,セントラルウェルネスクラブ高崎,6.0点,,,,,,,
総合,,総合成績,,71,セントラルスポーツクラブ宇都宮,6.0点,,,,,,,
総合,,総合成績,,73,セントラルフィットネスクラブ亀有,4.0点,,,,,,,
個人,No.1,女子200m自由形,85~89歳,1,森川タェ子,セ・我孫子,1/9,4:48.51,,,,,
個人,No.1,女子200m自由形,85~89歳,2,熊谷一枝,セ・天王洲,1/1,5:12.44,,,,,
個人,No.1,女子200m自由形,80~84歳,1,佐由利子,セ・用賀,3/3,3:49.20,,,,,
個人,No.1,女子200m自由形,80~84歳,2,内田良子,セ・用賀,2/8,3:51.63,,,,,
個人,No.1,女子200m自由形,80~84歳,3,安澤イソ子,セ・市ヶ尾,1/3,4:33.85,,,,,
個人,No.1,女子200m自由形,75~79歳,1,柴崎徳子,セ・柏,2/5,3:47.69,,,,,
個人,No.1,女子200m自由形,75~79歳,2,竹原君枝,セ・慶應日吉,3/5,3:48.85,,,,,
個人,No.1,女子200m自由形,75~79歳,3,松木弘美,セ・志木,1/6,4:15.61,,,,,
個人,No.1,女子200m自由形,75~79歳,4,馬場悦子,セ・清瀬,1/5,4:22.52,,,,,
個人,No.1,女子200m自由形,70~74歳,1,菅野泰子,セ・葛西,6/6,2:58.84,・大会新,,,,
個人,No.1,女子200m自由形,70~74歳,2,青木華世子,セ・松戸,6/1,3:08.16,,,,,
個人,No.1,女子200m自由形,70~74歳,3,中平信子,セ・成瀬,5/9,3:17.20,,,,,
個人,No.1,女子200m自由形,70~74歳,4,青砥美智子,セ・葛西,3/8,3:32.54,,,,,
個人,No.1,女子200m自由形,70~74歳,5,岡村悦子,セ・おおたか,4/9,3:36.78,,,,,
個人,No.1,女子200m自由形,70~74歳,6,菅和江,セ・戸塚,3/9,3:43.20,,,,,
個人,No.1,女子200m自由形,70~74歳,7,太田拓江,セ・戸塚,2/6,3:54.53,,,,,
個人,No.1,女子200m自由形,70~74歳,8,長野愛子,セ・柏,2/2,3:56.10,,,,,
個人,No.1,女子200m自由形,70~74歳,9,菅井道子,セ・戸塚,2/1,4:05.56,,,,,
個人,No.1,女子200m自由形,65~69歳,2,山﨑京子,セ・横浜,5/5,3:18.55,,,,,
個人,No.1,女子200m自由形,65~69歳,3,久松葉子,セ・成瀬,4/2,3:31.46,,,,,
個人,No.1,女子200m自由形,65~69歳,4,森本美恵,セ・松戸,4/3,3:35.58,,,,,
個人,No.1,女子200m自由形,65~69歳,5,五月女美幸,セ・宇都宮,4/8,3:37.12,,,,,
個人,No.1,女子200m自由形,65~69歳,6,日和久美子,セ・戸塚,3/4,3:45.17,,,,,
個人,No.1,女子200m自由形,65~69歳,7,久保とし子,セ・長津田,3/2,3:48.50,,,,,
個人,No.1,女子200m自由形,65~69歳,8,下川喜美枝,セ・南千住,3/7,3:54.01,,,,,
個人,No.1,女子200m自由形,60~64歳,1,石井裕美,セ・ときわ台,7/8,2:54.51,,,,,
個人,No.1,女子200m自由形,60~64歳,2,早津恵子,セ・越谷,7/2,2:58.76,,,,,
個人,No.1,女子200m自由形,60~64歳,3,福原美奈セ・,毛海岸,5/4,3:12.94,,,,,
個人,No.1,女子200m自由形,60~64歳,4,草森理子,セ・成城,4/4,3:27.01,,,,,
個人,No.1,女子200m自由形,60~64歳,5,山中恵子,セ・桶川北本,4/5,3:34.36,,,,,
個人,No.1,女子200m自由形,60~64歳,6,佐々木れい,セ・志木,2/4,3:52.08,,,,,
個人,No.1,女子200m自由形,60~64歳,7,桐沢ひとみ,セ・大森,3/1,4:02.17,,,,,
個人,No.1,女子200m自由形,55~59歳,1,八尋加苗,セ・松戸,6/8,3:10.03,,,,,
個人,No.1,女子200m自由形,55~59歳,2,山口仁子,セ・上池袋,5/8,3:15.54,,,,,
個人,No.1,女子200m自由形,55~59歳,3,小林のぞみ,セ・越谷,5/1,3:17.33,,,,,
個人,No.1,女子200m自由形,55~59歳,4,棚橋悦子,セ・自由が丘,5/2,3:24.41,,,,,
個人,No.1,女子200m自由形,55~59歳,5,森内裕子,セ・天王洲,4/1,3:38.87,,,,,
個人,No.1,女子200m自由形,55~59歳,6,江由美子,セ・袖ヶ浦,2/7,3:45.53,,,,,
個人,No.1,女子200m自由形,50~54歳,1,浅尾有香,セ・大森,7/4,2:41.19,,,,,
個人,No.1,女子200m自由形,50~54歳,2,広瀬百合香,セ・武蔵小杉,7/5,2:41.39,,,,,
個人,No.1,女子200m自由形,50~54歳,3,佐々木美佐,セ・平塚,7/6,2:45.15,,,,,
個人,No.1,女子200m自由形,50~54歳,4,友田智哲,セ・南青山,7/3,2:51.81,,,,,
個人,No.1,女子200m自由形,50~54歳,5,柳有美子,セ・おおたか,5/3,2:55.07,,,,,
個人,No.1,女子200m自由形,50~54歳,6,高橋麻子,セ・市ヶ尾,7/9,2:55.31,,,,,
個人,No.1,女子200m自由形,50~54歳,7,成島志子,セ・F宇都宮,5/7,3:20.89,,,,,
個人,No.1,女子200m自由形,50~54歳,8,森信子,セ・大森,3/6,3:33.40,,,,,
個人,No.1,女子200m自由形,45~49歳,1,吉村華余,セ・長津田,8/3,2:32.33,,,,,
個人,No.1,女子200m自由形,45~49歳,3,四井美穂,セ・天王洲,4/6,2:55.48,,,,,
個人,No.1,女子200m自由形,45~49歳,4,草野茜,セ・二俣川,7/1,2:58.66,,,,,
個人,No.1,女子200m自由形,45~49歳,5,本井萃,セ・横浜,8/1,3:03.03,,,,,
個人,No.1,女子200m自由形,45~49歳,6,吉池奈々,セ・二俣川,6/4,3:05.74,,,,,
個人,No.1,女子200m自由形,45~49歳,7,細沼悦子,セ・越谷,6/7,3:06.80,,,,,
個人,No.1,女子200m自由形,45~49歳,8,前田由希映,セ・二俣川,6/2,3:17.84,,,,,
個人,No.1,女子200m自由形,45~49歳,9,宇田川美穂,セ・天王洲,4/7,3:30.69,,,,,
個人,No.1,女子200m自由形,40~44歳,1,小豆澤和代,セ・慶應日吉,7/7,2:44.98,,,,,
個人,No.1,女子200m自由形,40~44歳,2,錦織佳奈子,ザバス川崎,6/5,2:58.70,,,,,
個人,No.1,女子200m自由形,40~44歳,3,久保かおり,セ・長津田,6/3,3:10.87,,,,,
個人,No.1,女子200m自由形,40~44歳,4,冨永結衣子,セ・大森,6/9,3:16.00,,,,,
個人,No.1,女子200m自由形,40~44歳,5,井島孝子,セ・天王洲,1/7,3:45.77,,,,,
個人,No.1,女子200m自由形,30~34歳,1,松前優里奈,セ・おおたか,8/4,2:29.21,,,,,
個人,No.1,女子200m自由形,30~34歳,2,風間捺央,セ・市川,8/8,2:31.34,,,,,
個人,No.1,女子200m自由形,30~34歳,3,吉田のばら,セ・南千住,8/9,2:33.42,,,,,
個人,No.1,女子200m自由形,25~29歳,1,新後海優,セ・トレッサ,8/6,2:27.33,,,,,
個人,No.1,女子200m自由形,25~29歳,2,川俣星,セ・新都心,8/7,2:30.18,,,,,
個人,No.1,女子200m自由形,25~29歳,3,竹下菜々美,セ・二俣川,8/2,2:31.09,,,,,
個人,No.1,女子200m自由形,18~24歳,1,岩城心美,セ・武蔵小杉,8/5,2:20.55,,,,,
個人,No.2,男子200m自由形,80~84歳,1,今修二セ・,谷,2/7,3:29.64,・大会新,,,,
個人,No.2,男子200m自由形,80~84歳,2,中田正二,セ・成城,1/7,3:31.36,・大会新,,,,
個人,No.2,男子200m自由形,75~79歳,1,伴野保志,セ・阿佐谷,1/3,5:04.23,,,,,
個人,No.2,男子200m自由形,70~74歳,1,若宮,セ・成城,3/7,3:08.34,,,,,
個人,No.2,男子200m自由形,70~74歳,3,飯沼明,セ・長津田,2/8,3:25.94,,,,,
個人,No.2,男子200m自由形,70~74歳,4,折居早,セ・阿佐谷,1/4,3:26.62,,,,,
個人,No.2,男子200m自由形,70~74歳,5,森下善夫,セ・大宮宮原,1/6,3:35.72,,,,,
個人,No.2,男子200m自由形,65~69歳,1,仲宇佐隆一セ・,浜,2/5,3:10.48,,,,,
個人,No.2,男子200m自由形,65~69歳,2,橋本政明,セ・志木,1/5,3:27.20,,,,,
個人,No.2,男子200m自由形,60~64歳,1,菊池千二,セ・市ヶ尾,4/5,2:27.50,,,,,
個人,No.2,男子200m自由形,60~64歳,2,早津英哉セ・,谷,5/7,2:32.00,,,,,
個人,No.2,男子200m自由形,60~64歳,3,下家成人,セ・二俣川,5/3,2:34.09,,,,,
個人,No.2,男子200m自由形,60~64歳,4,若島健二,セ・二俣川,4/7,2:51.10,,,,,
個人,No.2,男子200m自由形,60~64歳,5,安間稔,セ・市ヶ尾,4/9,2:56.95,,,,,
個人,No.2,男子200m自由形,60~64歳,6,山本和巳,セ・茂原,3/9,3:13.45,,,,,
個人,No.2,男子200m自由形,55~59歳,1,矢部裕之,セ・長津田,5/5,2:23.66,,,,,
個人,No.2,男子200m自由形,55~59歳,2,宮川則仁,セ・大宮宮原,4/3,2:37.16,,,,,
個人,No.2,男子200m自由形,55~59歳,3,西野宮冬木,セ・長津田,5/1,2:37.49,,,,,
個人,No.2,男子200m自由形,55~59歳,4,宮木幸彦,セ・葛西,5/2,2:40.69,,,,,
個人,No.2,男子200m自由形,55~59歳,5,北村洋一,セ・大森,5/9,2:43.08,,,,,
個人,No.2,男子200m自由形,55~59歳,6,本間丈博セ・,毛海岸,4/4,2:50.35,,,,,
個人,No.2,男子200m自由形,55~59歳,7,吉峯幸郎,セ・用賀,3/4,3:05.37,,,,,
個人,No.2,男子200m自由形,55~59歳,8,大塚秀幸,セ・慶應日吉,3/3,3:13.84,,,,,
個人,No.2,男子200m自由形,55~59歳,9,萱沼憲司郎,セ・茂原,2/6,3:24.16,,,,,
個人,No.2,男子200m自由形,50~54歳,1,関口義和,セ・二俣川,6/1,2:26.96,,,,,
個人,No.2,男子200m自由形,50~54歳,2,山田耕一,セ・清瀬,5/4,2:30.39,,,,,
個人,No.2,男子200m自由形,50~54歳,3,阿部友照,セ・東十条,6/9,2:47.17,,,,,
個人,No.2,男子200m自由形,50~54歳,4,岡田育行セ・,谷,3/8,2:57.01,,,,,
個人,No.2,男子200m自由形,50~54歳,5,志水,セ・大宮宮原,3/1,3:20.37,,,,,
個人,No.2,男子200m自由形,50~54歳,6,中田雄也,墨田区体育館,3/2,3:24.59,,,,,
個人,No.2,男子200m自由形,45~49歳,1,永瀬知之,セ・二俣川,6/8,2:13.86,,,,,
個人,No.2,男子200m自由形,45~49歳,2,中込孝之,ザバス川崎,6/5,2:20.04,,,,,
個人,No.2,男子200m自由形,45~49歳,3,花井一也,セ・長津田,5/6,2:26.84,,,,,
個人,No.2,男子200m自由形,45~49歳,5,西田幸弘,セ・藤沢,5/8,2:36.07,,,,,
個人,No.2,男子200m自由形,45~49歳,6,齊藤仁,セ・茂原,4/6,2:37.23,,,,,
個人,No.2,男子200m自由形,45~49歳,7,古屋俊一,セ・ときわ台,4/8,2:43.08,,,,,
個人,No.2,男子200m自由形,40~44歳,1,鶴谷,セ・二俣川,7/4,2:06.87,・大会新,,,,
個人,No.2,男子200m自由形,40~44歳,2,石井将太,セ・成瀬,6/4,2:16.06,,,,,
個人,No.2,男子200m自由形,35~39歳,1,岩本和也,セ・志木,7/6,2:13.23,,,,,
個人,No.2,男子200m自由形,35~39歳,2,角田渉,セ・大森,3/5,3:09.46,,,,,
個人,No.2,男子200m自由形,30~34歳,1,小野健,セ・天王洲,7/7,2:10.36,,,,,
個人,No.2,男子200m自由形,30~34歳,2,土屋大貴,セ・平塚,6/6,2:19.54,,,,,
個人,No.2,男子200m自由形,30~34歳,3,成田昌記,セ・二俣川,4/1,2:22.42,,,,,
個人,No.2,男子200m自由形,30~34歳,4,山田義明,セ・おおたか,3/6,3:01.47,,,,,
個人,No.2,男子200m自由形,25~29歳,1,中島大賀,セ・市川,7/5,2:05.70,,,,,
個人,No.2,男子200m自由形,25~29歳,2,神戸優イ希,セ・茂原,7/3,2:10.49,,,,,
個人,No.2,男子200m自由形,25~29歳,3,柿沼龍史,セ・成城,6/3,2:15.69,,,,,
個人,No.2,男子200m自由形,18~24歳,1,服部碧,セ・成城,7/2,2:04.53,,,,,
個人,No.2,男子200m自由形,18~24歳,2,黒田大介,セ・成城,7/8,2:09.19,,,,,
個人,No.2,男子200m自由形,18~24歳,3,都築クラウディオ佑亮セ・おおたか,6/7,6/7,2:10.66,,,,,
個人,No.2,男子200m自由形,18~24歳,4,荒井優吾,セ・成瀬,7/1,2:19.01,,,,,
個人,No.2,男子200m自由形,18~24歳,5,佐藤汰祐,ザバス鶴見,7/9,2:21.35,,,,,
リレー,No.3,女子4×50mフリーリレー,320~359歳,1,天王洲,330歳,1/8,3:50.50,,鬼束洋子,川端淑子,熊谷一枝,平田美佐子
リレー,No.3,女子4×50mフリーリレー,280~319歳,1,大森,285歳,3/3,2:46.36,,立石由美子,市野克子,室谷晴、,井上美佐子
リレー,No.3,女子4×50mフリーリレー,280~319歳,2,天王洲,281歳,2/7,2:52.09,,小宀山美芽,梅田栄己子,後藤明美,浅野みどり
リレー,No.3,女子4×50mフリーリレー,280~319歳,3,柏,310歳,2/6,3:00.04,,柴崎徳子,木澤杲子,長野愛子,浅浦礼子
リレー,No.3,女子4×50mフリーリレー,280~319歳,4,用賀,297歳,1/5,3:09.59,,内田良子,舘野圭子,佐藤由利子,捶井泰子
リレー,No.3,女子4×50mフリーリレー,280~319歳,5,戸塚,283歳,1/7,3:15.33,,日和久美子,太田拓、,福田代子,酒谷真砂子
リレー,No.3,女子4×50mフリーリレー,280~319歳,6,慶應日吉,281歳,1/6,3:24.14,,池淵玲子,田野倉和子,戸倉陽子,中野朗子
リレー,No.3,女子4×50mフリーリレー,280~319歳,7,天王洲,299歳,1/4,3:40.92,,長谷川子,川島か子,寺西寿賀子,柴田千代子
リレー,No.3,女子4×50mフリーリレー,240~219歳,1,二俣川,262歳,4/10,2:24.92,,武井麻知子,近藤な子,野島久枝,永瀬秀子
リレー,No.3,女子4×50mフリーリレー,240~219歳,2,成城,252歳,3/2,2:33.32,,仲田久美子,草森理子,伊藤ゅかり,高梨美樹
リレー,No.3,女子4×50mフリーリレー,240~219歳,3,おおたか,247歳,2/4,2:39.10,,五十嵐知佐,育村博子,倉林明子,野崎由美子
リレー,No.3,女子4×50mフリーリレー,240~219歳,4,川崎,240歳,2/8,2:45.83,,中山,齊藤たか子,伊藤春美,川久保ちづる
リレー,No.3,女子4×50mフリーリレー,240~219歳,5,おおたか,253歳,2/3,2:46.12,,大石里佳,高木保子,佐藤晶子,岡村院子
リレー,No.3,女子4×50mフリーリレー,240~219歳,6,慶應日吉,240歳,3/7,2:49.06,,井手敦子,山田智子,原田由美子,福本麻美
リレー,No.3,女子4×50mフリーリレー,240~219歳,7,南千住,252歳,2/2,3:05.68,,古宇田淳子,于亜芝,片桐万澄,町田麻里
リレー,No.3,女子4×50mフリーリレー,240~219歳,8,大森,258歳,3/9,3:11.96,,佐々木政子,中島初美,富樫博子,酒井貴代
リレー,No.3,女子4×50mフリーリレー,240~219歳,9,流山,264歳,1/3,3:25.69,,三木純子,新井瑞枝,菊池佐千代,小笠原京子
リレー,No.3,女子4×50mフリーリレー,200~239歳,1,慶應日吉,200歳,4/9,2:20.51,,井上,前畑子,森谷登、,上沢絵里奈
リレー,No.3,女子4×50mフリーリレー,200~239歳,2,市川,205歳,4/1,2:25.01,,新井亜衣,小高麻衣子,高橋久美,石井菜穂美
リレー,No.3,女子4×50mフリーリレー,200~239歳,3,八景,227歳,3/8,2:21.80,,真栄田ずえ,座日千鶴子,野村洋子,鶴岡美佐
リレー,No.3,女子4×50mフリーリレー,200~239歳,4,二俣川,230歳,3/4,2:33.02,,川村佳代子,反谷恵,公川子,可部のみ
リレー,No.3,女子4×50mフリーリレー,200~239歳,5,清瀬,229歳,2/5,2:35.49,,大橋ほづ美,小笠原暁子,レントフェルト慶子,大槻真由美
リレー,No.3,女子4×50mフリーリレー,200~239歳,6,木,230歳,3/1,2:41.59,,赤坂恵美子,石塚孝子,佐々木れ,高橋真美
リレー,No.3,女子4×50mフリーリレー,200~239歳,7,横浜,230歳,3/10,2:50.12,,大野結実,植草美香子,佐藤桂子,山﨑京子
リレー,No.3,女子4×50mフリーリレー,160~199歳,1,成城,161歳,4/7,2:11.10,,仲田笑美,佐藤洋子,岩田愛恵,中畑眸
リレー,No.3,女子4×50mフリーリレー,160~199歳,2,葛西,181歳,4/2,2:12.39,,永田那子,羽山恵津子,溝井花代子,大椛詩織
リレー,No.3,女子4×50mフリーリレー,160~199歳,3,市ヶ尾,194歳,4/3,2:12.93,,池田百合子,高橋麻子,白須靖子,宀下奏子
リレー,No.3,女子4×50mフリーリレー,160~199歳,4,二俣川,169歳,4/8,2:16.31,,吉池奈々,前田由希映,草野茜,竹下菜々美
リレー,No.3,女子4×50mフリーリレー,160~199歳,5,天王洲,173歳,3/6,2:24.63,,萩原ゅりか,中辷澄美,宇田川美穂,四井美穂
リレー,No.3,女子4×50mフリーリレー,160~199歳,6,南青山,163歳,3/5,2:28.55,,國政玲,北原暁美,芳賀代子,竹山睦月
リレー,No.3,女子4×50mフリーリレー,120~159歳,1,長津田,141歳,4/6,2:05.50,,吉村華余,小澤有未,森谷麻貴,川北恵
リレー,No.3,女子4×50mフリーリレー,12~119歳,1,蒲田,114歳,4/5,2:02.50,,宀澤緋花留,池田良子,青木奈那美,早川舞
リレー,No.4,男子4×50mフリーリレー,280~っ19歳,1,成城,284歳,1/5,2:22.90,,羽田浩一,木津誠,若宀強,中田正二
リレー,No.4,男子4×50mフリーリレー,240~279歳,1,二俣川,241歳,3/2,2:04.1っ,,冨松実,若島健二,永瀬知之,下成人
リレー,No.4,男子4×50mフリーリレー,240~279歳,2,市ヶ尾,250歳,3/1,2:07.6っ,,菊池千二,神尾尚人,大滝恭伸,新井良育
リレー,No.4,男子4×50mフリーリレー,240~279歳,3,用賀,240歳,3/9,2:10.67,,吉峯幸郎,佐藤正,飯田正攵,和田浩一
リレー,No.4,男子4×50mフリーリレー,240~279歳,4,長津田,241歳,3/10,2:18.15,,金子謙一,西森文史郎,池谷千尋,西野宀冬木
リレー,No.4,男子4×50mフリーリレー,240~279歳,5,阿佐谷,248歳,2/2,2:26.87,,吉村進,折居彰,大川明徳,紺野忠大
リレー,No.4,男子4×50mフリーリレー,240~279歳,6,慶應日吉,248歳,1/6,2:28.59,,山本勝,長野守,岩田寛,久保田裕一
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,1,二俣川,201歳,4/1,1:54.99,,堀川広祐,関口義和,石上智啓,大村俊文
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,2,葛西,203歳,3/4,1:55.64,,宀木幸彦,原田真,弭間政隆,青木圭祐
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,3,おおたか,236歳,2/3,2:08.25,,會田修一,海辺信吉,小山邦彦,前田光輝
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,4,慶應日吉,211歳,2/5,2:1っ.69,,田中遼太,穴田啓樹,大塚秀幸,門倉孝行
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,5,長津田,203歳,2/6,2:15.17,,竹下翔,祖川久茂,宀本昌雄,飯沼明
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,6,天王洲,200歳,1/7,2:20.08,,寺田遼太,佐藤流生,日暮正明,千葉忠英
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,7,茂原,223歳,1/3,2:20.っ1,,萱沼憲司郎,山本和巳,梅村潔,神戸憂悠希
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,8,大森,238歳,1/8,2:21.27,,御手康美,海老原健太,町田克浩,瀧川一興
リレー,No.4,男子4×50mフリーリレー,200~2っ9歳,9,南青山,231歳,2/8,2:25.29,,安藤靖,安藤月邦,浜健,中嶋智史
リレー,No.4,男子4×50mフリーリレー,160~199歳,1,二俣川,167歳,4/5,1:41.81,,前田康輔,前田崇行,鶴谷学,寺田貴洋
リレー,No.4,男子4×50mフリーリレー,160~199歳,2,市ヶ尾,167歳,4/4,1:45.27,,池田正輝,山内悠,木村考太,田中諒也
リレー,No.4,男子4×50mフリーリレー,160~199歳,3,天王洲,162歳,3/7,1:50.41,,小野健,星友也,久保卓士,倉持公一
リレー,No.4,男子4×50mフリーリレー,160~199歳,4,柏,173歳,3/5,1:54.71,,廣川大起,長田裕史,磯貝知弘,上野太紀夫
リレー,No.4,男子4×50mフリーリレー,160~199歳,5,清瀬,163歳,3/8,2:00.47,,西沢歩,塚本拓也,松本考弘,大木義之
リレー,No.4,男子4×50mフリーリレー,160~199歳,6,成城,181歳,4/2,2:00.96,,石井龍,浦田昌和,柿沼龍史,村上守
リレー,No.4,男子4×50mフリーリレー,160~199歳,7,阿佐谷,171歳,3/3,2:02.08,,北川貴義,松本隆宏,若杉佳宏,和田亮
リレー,No.4,男子4×50mフリーリレー,160~199歳,8,大森,174歳,2/4,2:05.9っ,,渡部直也,宇佐美学,成田攵隆,野村攵生
リレー,No.4,男子4×50mフリーリレー,160~199歳,9,川,172歳,2/7,2:10.51,,大橋克也,土井満,加藤直梧,高瀬信雄
リレー,No.4,男子4×50mフリーリレー,120~159歳,1,おおたか,131歳,4/7,1:46.82,,都築クラィオ佑亮,古川貴,大作善,石井
リレー,No.4,男子4×50mフリーリレー,120~159歳,2,阿佐谷,140歳,4/3,1:48.26,,和田弘太郎,津守陽介,棚網宏之,荒井啓汰
リレー,No.4,男子4×50mフリーリレー,120~159歳,3,葛西,121歳,4/8,1:48.94,,前島悠也,泉翔太,石井孟,矢野匠
リレー,No.4,男子4×50mフリーリレー,120~159歳,4,慶應日吉,153歳,4/10,1:49.4っ,,菅原啓,河野悟,金井気,福田雄太
