競技番号,競技性別,競技名,世界記録,日本記録,大会記録,年齢区分,順位,リレー泳順,氏名,所属,水路,リレー時間,個人時間,リレー合計年齢,飛込タイム,LAPタイム
No.1,女子,100m個人メドレー,1:38.45,1:36.03,2:05.42,80～84歳,1,,久保美紀枝,セ・流山,1/3,,2:28.70,,1.07,33.91|1:10.46|1:54.22
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,3,,石河久美子,セ・溝ノ口,4/9,,1:55.34,,0.83,28.98|58.38|1:30.40
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,4,,森本美恵,セ・松戸,3/9,,1:55.44,,0.96,22.50|50.43|1:28.45
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,5,,久松葉子,セ・成瀬,4/6,,1:57.99,,1.16,29.42|58.20|1:31.26
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,6,,原田由美子,セ・慶應日吉,2/6,,2:08.53,,0.83,28.65|1:01.02|1:38.69
No.1,女子,100m個人メドレー,1:15.65,1:21.78,1:30.20,65～69歳,7,,近藤みゆき,セ・阿佐谷,3/10,,2:10.31,,0.71,31.12|1:04.92|1:41.43
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,1,,田中貴子,セ・清瀬,9/9,,1:25.52,,0.74,17.26|39.96|1:05.50
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,2,,榎本恵子,セ・西新井,6/1,,1:39.33,,0.84,21.87|48.15|1:16.78
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,3,,上野真弓,セ・二俣川,7/2,,1:40.23,,0.94,21.79|46.54|1:17.15
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,4,,高松早智子,セ・南宇都宮,5/6,,1:42.33,,0.77,22.15|48.74|1:18.89
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,5,,山本庸子,セ・八王子,6/10,,1:45.86,,1.12,22.08|50.73|1:21.71
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,6,,盛田真規子,セ・二俣川,5/7,,1:47.48,,0.82,22.72|50.70|1:22.53
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,7,,山中恵子,セ・桶川北本,5/5,,1:50.09,,0.96,24.56|53.82|1:25.60
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,8,,加藤雅弓,セ・新都心,5/2,,1:53.17,,1.08,26.37|56.28|1:28.62
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,9,,田中香苗,セ・青砥,3/4,,1:58.33,,0.94,25.61|57.59|1:31.98
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,10,,三木純子,セ・流山,2/2,,2:11.92,,1.16,27.33|1:00.62|1:42.33
No.1,女子,100m個人メドレー,1:09.11,1:15.10,1:24.94,60～64歳,11,,飯田美奈子,セ・西新井,1/7,,2:29.75,,1.11,35.06|1:12.61|1:50.72
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,1,,鈴木和佳奈,セ・桶川北本,9/6,,1:22.15,,0.68,16.70|38.37|1:03.09
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,2,,仲田久美子,セ・成城,9/10,,1:25.60,,0.74,16.71|38.81|1:04.89
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,3,,川村佳代子,セ・二俣川,8/1,,1:31.11,,0.76,18.60|40.80|1:08.88
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,4,,前畑章子,セ・慶應日吉,7/5,,1:31.84,,0.75,17.13|41.09|1:08.05
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,5,,佐藤洋子,セ・成城,7/6,,1:32.22,,0.70,20.28|44.17|1:10.24
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,6,,武部友美子,セ・東戸塚,6/5,,1:39.41,,0.83,21.92|46.63|1:16.58
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,7,,松川律子,セ・二俣川,5/4,,1:42.27,,0.91,20.75|47.06|1:18.21
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,8,,捶井泰子,セ・用賀,5/9,,1:47.58,,0.75,23.65|49.03|1:21.41
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,9,,山田智子,セ・慶應日吉,3/3,,1:49.97,,0.82,24.31|53.63|1:25.24
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,10,,冨樫真樹子,セ・用賀,4/8,,1:52.21,,0.76,24.56|53.40|1:25.32
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,11,,江頭由美子,セ・袖ケ浦,4/2,,1:53.05,,1.10,24.84|54.62|1:28.34
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,12,,山口仁子,セ・上池袋,3/5,,1:55.59,,,26.69|57.64|1:32.75
No.1,女子,100m個人メドレー,1:09.08,1:14.20,1:18.42,55～59歳,13,,佐々木夕子,セ・市ヶ尾,3/1,,2:05.38,,0.90,28.29|1:00.22|1:37.43
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,1,,池田百合子,セ・市ヶ尾,10/6,,1:13.85,,0.74,14.46|33.15|55.73
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,2,,広瀬百合香,セ・武蔵小杉,10/2,,1:20.22,,0.72,16.49|36.77|1:00.90
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,3,,木村美佐子,セ・南宇都宮,9/5,,1:20.79,,0.77,16.78|37.90|1:01.76
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,4,,小泉未歌,セ・宇都宮,9/7,,1:22.94,,0.72,16.30|37.41|1:03.14
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,5,,高間智子,セ・自由が丘,6/6,,1:43.74,,0.78,20.28|47.81|1:19.53
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,6,,磯村麻衣子,セ・上池袋,3/6,,1:46.02,,0.84,23.16|51.65|1:22.14
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,7,,福田ユリヤ,セ・南青山,4/5,,1:55.40,,0.70,22.51|55.30|1:27.59
No.1,女子,100m個人メドレー,1:07.04,1:10.81,1:14.56,50～54歳,8,,平野真紀,セ・福生,1/4,,2:13.30,,0.96,31.01|1:06.01|1:43.85
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,1,,北國友理子,セ・二俣川,10/10,,1:20.37,,0.65,16.15|36.23|1:01.15
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,2,,野田りょうこ,セ・西東京,10/8,,1:21.82,,0.76,16.07|37.34|1:02.85
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,3,,関康代,セ・宇都宮,9/1,,1:29.22,,0.76,17.39|41.26|1:07.39
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,4,,藤本淑恵,セ・平塚,8/10,,1:32.77,,0.91,18.51|42.28|1:10.08
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,5,,芳賀加代子,セ・南青山,7/1,,1:33.70,,0.75,18.59|42.29|1:10.51
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,6,,溝井花代子,セ・葛西,7/7,,1:34.16,,0.71,20.26|45.32|1:12.35
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,7,,佐藤桂子,セ・横浜,7/8,,1:37.40,,0.77,19.04|44.78|1:14.45
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,8,,土井直子,ザバス川崎,5/10,,1:37.94,,1.12,20.59|45.90|1:15.89
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,9,,前田由希映,セ・二俣川,6/2,,1:40.16,,0.81,21.52|49.61|1:18.57
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,10,,赤坂恵美子,セ・志木,4/10,,1:50.56,,0.92,22.84|51.29|1:23.39
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,11,,成重夏紀,セ・藤沢,4/3,,1:53.01,,0.95,22.85|53.54|1:27.15
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,12,,棈野美紀,セ・慶應日吉,3/8,,2:04.50,,,29.24|1:00.33|1:36.09
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,13,,市原綾子,セ・Ｓ湘南台,2/7,,2:08.50,,0.89,28.58|1:02.14|1:37.82
No.1,女子,100m個人メドレー,1:05.61,1:07.45,1:14.91,45～49歳,14,,安垣真美,セ・南青山,4/7,,2:10.96,,0.77,30.54|1:02.94|1:38.84
No.1,女子,100m個人メドレー,1:04.19,1:05.79,1:12.68,40～44歳,1,,中村可奈子,セ・おおたか,9/4,,1:24.39,,0.78,17.34|40.02|1:03.89
No.1,女子,100m個人メドレー,1:04.19,1:05.79,1:12.68,40～44歳,2,,山田未紗子,セ・越谷,8/9,,1:30.13,,0.77,18.25|41.74|1:07.78
No.1,女子,100m個人メドレー,1:04.19,1:05.79,1:12.68,40～44歳,3,,大竹昌子,セ・大森,8/2,,1:31.11,,0.78,20.56|43.79|1:10.12
No.1,女子,100m個人メドレー,1:02.76,1:03.17,1:10.75,35～39歳,1,,宮下奏子,セ・市ヶ尾,10/3,,1:16.31,,0.69,15.59|35.40|58.50
No.1,女子,100m個人メドレー,1:02.76,1:03.17,1:10.75,35～39歳,2,,大家萌実,セ・用賀,9/3,,1:26.58,,0.66,16.79|41.04|1:06.32
No.1,女子,100m個人メドレー,1:02.76,1:03.17,1:10.75,35～39歳,3,,久保美由紀,セ・長津田,5/1,,1:43.37,,0.96,22.16|49.99|1:19.86
No.1,女子,100m個人メドレー,1:02.76,1:03.17,1:10.75,35～39歳,4,,李鎬善,セ・目黒,4/1,,1:49.20,,0.77,23.26|48.79|1:22.67
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,1,,遠藤桃,セ・越谷,10/4,,1:11.85,,0.82,14.99|33.72|54.39
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,2,,大和久佳江,セ・袖ケ浦,9/8,,1:16.27,,0.73,15.38|35.25|58.64
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,3,,大椛詩織,セ・葛西,10/9,,1:17.49,,0.75,15.43|34.81|58.84
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,4,,片桐由里恵,セ・Ｓ湘南台,7/3,,1:27.47,,0.80,18.23|42.06|1:06.47
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,5,,井上唯,セ・慶應日吉,8/5,,1:29.46,,0.73,18.34|40.89|1:08.08
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,6,,髙橋未沙,セ・おおたか,6/3,,1:34.03,,1.00,17.86|41.55|1:09.42
No.1,女子,100m個人メドレー,1:02.15,1:02.55,1:09.92,30～34歳,7,,渡邉茜,セ・袖ケ浦,6/7,,1:44.13,,0.86,23.03|49.90|1:19.86
No.1,女子,100m個人メドレー,1:01.79,1:01.79,1:06.72,25～29歳,1,,丸玖瑠都,セ・成城,10/7,,1:18.62,,0.64,16.34|36.51|59.35
No.1,女子,100m個人メドレー,1:01.79,1:01.79,1:06.72,25～29歳,2,,石井理桜子,セ・市川,10/1,,1:20.59,,0.68,16.27|37.51|1:01.02
No.1,女子,100m個人メドレー,,1:03.04,1:06.66,18～24歳,1,,梶井美杏,セ・清瀬,10/5,,1:15.08,,0.72,15.17|33.69|57.11
No.1,女子,100m個人メドレー,,1:03.04,1:06.66,18～24歳,2,,小林楓実,セ・二俣川,8/4,,1:15.46,,0.72,14.37|32.20|56.83
No.1,女子,100m個人メドレー,,1:03.04,1:06.66,18～24歳,3,,松井優依,セ・八王子,9/2,,1:19.90,,0.73,15.64|34.55|1:00.24
No.1,女子,100m個人メドレー,,1:03.04,1:06.66,18～24歳,4,,豊田聖華,セ・武蔵小杉,7/10,,1:23.61,,0.74,15.57|37.01|1:03.17
No.1,女子,100m個人メドレー,,1:03.04,1:06.66,18～24歳,5,,森山稜子,セ・新都心,8/7,,1:25.41,,0.73,17.27|38.63|1:03.47
No.1,女子,100m個人メドレー,,1:03.04,1:06.66,18～24歳,6,,皆川すみれ,セ・南青山,8/3,,1:26.27,,0.83,16.62|38.62|1:04.39
No.2,男子,100m個人メドレー,1:23.73,1:27.38,1:46.24,80～84歳,1,,内田幸稔,セ・松戸,2/7,,2:16.12,,0.81,26.14|1:00.30|1:42.46
No.2,男子,100m個人メドレー,1:17.32,1:17.32,1:30.26,75～79歳,1,,伴野保志,セ・阿佐谷,1/7,,2:10.32,,0.83,31.94|1:04.65|1:37.42
No.2,男子,100m個人メドレー,1:06.98,1:11.71,1:23.83,70～74歳,1,,吉原一彦,セ・阿佐谷,8/1,,1:18.82,,0.77,15.74|38.70|1:01.90
No.2,男子,100m個人メドレー,1:06.98,1:11.71,1:23.83,70～74歳,2,,亀田一麿,セ・東戸塚,5/3,,1:29.08,,0.86,17.38|39.40|1:06.33
No.2,男子,100m個人メドレー,1:06.98,1:11.71,1:23.83,70～74歳,3,,折居彰,セ・阿佐谷,2/5,,1:40.32,,0.99,20.99|48.83|1:16.93
No.2,男子,100m個人メドレー,1:06.98,1:11.71,1:23.83,70～74歳,4,,藤田善久,セ・八千代台,3/3,,1:44.22,,1.00,21.47|48.76|1:19.86
No.2,男子,100m個人メドレー,1:06.98,1:11.71,1:23.83,70～74歳,5,,菱沼和男,セ・葛西,2/3,,1:47.19,,0.82,24.98|52.67|1:23.62
No.2,男子,100m個人メドレー,1:06.98,1:11.71,1:23.83,70～74歳,6,,安嶋俊夫,セ・茂原,1/4,,1:51.87,,1.12,25.21|55.53|1:27.32
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,1,,和田浩一,セ・用賀,7/8,,1:14.54,,0.69,15.34|34.61|56.99
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,2,,山梨英克,セ・我孫子,4/1,,1:33.17,,0.73,19.88|44.83|1:11.05
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,3,,柏木治久,セ・成瀬,3/2,,1:37.98,,0.82,21.49|47.92|1:16.43
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,4,,竹内新,セ・府中,3/7,,1:40.55,,0.92,19.75|48.81|1:18.30
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,5,,二宮次郎,セ・南宇都宮,3/8,,1:43.72,,0.72,21.41|52.08|1:22.74
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,6,,赤坂吉昭,セ・葛西,3/9,,1:49.04,,0.96,23.57|53.61|1:25.18
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,7,,佐藤信弘,セ・桶川北本,2/6,,1:49.23,,0.98,20.47|49.80|1:25.52
No.2,男子,100m個人メドレー,1:05.43,1:10.47,1:15.90,65～69歳,8,,菅谷新吾,セ・南青山,2/8,,1:54.16,,0.88,23.54|54.52|1:27.29
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,1,,小倉和彦,セ・清瀬,9/8,,1:11.01,,0.77,14.41|33.06|52.55
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,2,,古木隆介,セ・用賀,9/5,,1:11.44,,0.68,14.86|32.85|53.68
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,3,,清水照久,セ・西東京,8/2,,1:14.56,,0.74,15.18|34.47|56.81
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,4,,兼森伸兒,ザバス八景,6/2,,1:23.23,,0.78,17.29|40.55|1:03.65
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,5,,神尾尚人,セ・市ヶ尾,5/7,,1:24.40,,0.70,17.88|40.34|1:05.96
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,6,,池谷千尋,セ・長津田,6/3,,1:25.03,,0.74,17.29|42.84|1:04.93
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,7,,中村幸弘,セ・越谷,6/7,,1:26.35,,0.87,16.95|39.74|1:03.59
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,8,,村木満,セ・トレッサ,5/9,,1:27.85,,0.83,18.28|43.16|1:08.76
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,9,,小池輝明,セ・武蔵小杉,3/4,,1:28.75,,0.88,18.48|43.21|1:06.89
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,10,,若島健二,セ・二俣川,5/4,,1:31.24,,0.80,20.41|44.83|1:10.47
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,11,,小島淳,セ・柏,3/5,,1:31.80,,0.74,18.97|43.26|1:10.07
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,12,,伊藤伸彦,セ・横浜,4/8,,1:32.70,,0.84,18.56|44.41|1:12.17
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,13,,渡辺一,セ・市ヶ尾,4/6,,1:32.97,,0.89,19.27|43.93|1:10.98
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,14,,横山恵一,セ・越谷,4/4,,1:33.93,,0.80,20.19|45.62|1:13.74
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,15,,二宮博,セ・横浜,4/2,,1:34.57,,0.81,17.27|44.46|1:11.80
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,16,,宮田豊,セ・西東京,1/6,,1:36.90,,0.79,17.74|47.08|1:14.51
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,17,,高橋潤,セ・成瀬,3/1,,1:39.25,,0.78,19.71|44.86|1:15.29
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,18,,浦田昌和,セ・成城,4/7,,1:39.79,,0.85,17.72|44.29|1:14.44
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,19,,金田雅之,セ・能見台,4/9,,1:42.11,,0.94,21.86|50.53|1:20.47
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,20,,山本勝,セ・慶應日吉,2/2,,1:56.47,,0.89,24.81|57.30|1:31.12
No.2,男子,100m個人メドレー,1:02.65,1:04.21,1:11.11,60～64歳,21,,青木健一郎,セ・慶應日吉,1/8,,1:58.07,,1.06,28.20|1:01.85|1:34.33
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,1,,村野雄太,セ・清瀬,10/1,,1:12.31,,0.72,14.18|32.59|54.03
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,2,,北村洋一,セ・大森,8/10,,1:17.32,,0.62,15.90|35.47|57.89
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,3,,杉原祥之,ザバス鶴見,7/2,,1:18.40,,0.75,15.10|34.91|59.57
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,4,,町田克浩,セ・大森,6/6,,1:18.76,,0.79,16.09|36.62|59.97
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,5,,成島毅,セ・Ｆ宇都宮,6/10,,1:20.82,,0.80,16.09|37.99|1:01.25
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,6,,飯田正敏,セ・用賀,6/4,,1:21.59,,0.81,16.27|38.46|1:02.25
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,7,,浅田康朗,セ・大森,7/9,,1:21.64,,0.80,15.15|37.10|1:01.36
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,8,,福田,Ｇ－ＳＰＡ,6/5,,1:28.43,,0.67,17.48|40.68|1:06.76
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,9,,本間丈博,セ・稲毛海岸,6/8,,1:28.82,,0.85,18.15|42.55|1:09.03
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,10,,高田義久,セ・八王子,5/8,,1:29.47,,0.69,18.21|42.97|1:07.37
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,11,,塚越有宏,セ・市ヶ尾,5/6,,1:30.61,,0.84,17.57|42.21|1:09.95
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,12,,伊藤正二,セ・大森,4/5,,1:30.68,,0.78,17.25|42.00|1:07.98
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,13,,佐藤正章,セ・用賀,5/5,,1:33.60,,0.86,19.22|44.42|1:12.59
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,14,,北村勇,セ・能見台,3/6,,1:36.78,,0.78,18.50|46.83|1:11.78
No.2,男子,100m個人メドレー,1:00.75,1:01.65,1:08.36,55～59歳,15,,穴田啓樹,セ・慶應日吉,3/10,,1:39.93,,0.69,18.61|48.89|1:16.61
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,1,,田窪達,セ・市ヶ尾,12/2,,1:03.37,,0.72,12.77|29.29|47.80
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,2,,羽田浩一,セ・成城,10/5,,1:11.84,,0.71,14.83|32.99|54.39
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,3,,星野隆,セ・長津田,9/2,,1:13.62,,0.79,14.80|35.74|56.30
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,4,,岡村勝重,セ・長津田,8/5,,1:13.78,,0.66,14.95|35.17|56.32
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,5,,村上政行,セ・武蔵小杉,8/9,,1:15.59,,0.87,15.87|36.84|57.14
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,6,,大橋克也,ザバス川崎,9/3,,1:16.19,,0.68,15.55|34.91|56.24
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,7,,足立晃,セ・新川崎,5/1,,1:21.76,,0.85,14.98|35.49|1:03.19
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,8,,平田博之,セ・ときわ台,7/3,,1:22.08,,0.87,16.54|38.29|1:03.24
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,9,,渡誠,セ・清瀬,6/1,,1:23.10,,0.89,17.85|39.34|1:04.50
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,10,,大川明徳,セ・阿佐谷,4/3,,1:33.65,,1.05,17.39|42.88|1:11.52
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,11,,岡田能行,セ・越谷,5/2,,1:35.68,,0.80,18.03|42.83|1:13.56
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,12,,土井満,ザバス川崎,4/10,,1:40.41,,0.79,18.59|46.28|1:17.31
No.2,男子,100m個人メドレー,57.69,59.47,1:04.94,50～54歳,13,,棈野浩一,セ・慶應日吉,1/3,,2:02.03,,1.08,28.30|59.77|1:31.06
No.2,男子,100m個人メドレー,56.27,56.27,1:00.05,45～49歳,1,,渡邊忠幸,セ・南宇都宮,9/4,,1:12.58,,0.70,14.86|34.01|55.34
No.2,男子,100m個人メドレー,56.27,56.27,1:00.05,45～49歳,2,,桐本兼輔,セ・福生,9/9,,1:15.34,,0.71,14.57|34.29|57.37
No.2,男子,100m個人メドレー,56.27,56.27,1:00.05,45～49歳,3,,高瀬信雄,ザバス川崎,6/9,,1:23.02,,0.79,16.91|38.89|1:03.14
