イベントNo,性別,種目,年齢区分,順位,氏名,チーム名,合計年齢,所属,水路,記録,備考,種別
1,女子,100m個人メドレー,60～64歳,9,田中,,,香苗   セ・青砥,3/ 4,1:58.33,,個人
1,女子,100m個人メドレー,60～64歳,10,三木,,,純子   セ・流山,2/ 2,2:11.92,,個人
1,女子,100m個人メドレー,60～64歳,11,飯田美奈子,,,セ・西新井,1/ 7,2:29.75,,個人
1,女子,100m個人メドレー,55～59歳,1,鈴木和佳奈,,,セ・桶川北本,9/ 6,1:22.15,,個人
1,女子,100m個人メドレー,55～59歳,2,仲田久美子,,,セ・成城,9/10,1:25.60,,個人
1,女子,100m個人メドレー,55～59歳,3,川村佳代子,,,セ・二俣川,8/ 1,1:31.11,,個人
1,女子,100m個人メドレー,55～59歳,4,前畑,,,章子   セ・慶應日吉,7/ 5,1:31.84,,個人
1,女子,100m個人メドレー,55～59歳,5,佐藤,,,洋子   セ・成城,7/ 6,1:32.22,,個人
1,女子,100m個人メドレー,55～59歳,6,武部友美子,,,セ・東戸塚,6/ 5,1:39.41,,個人
1,女子,100m個人メドレー,55～59歳,7,松川,,,律子   セ・二俣川,5/ 4,1:42.27,,個人
1,女子,100m個人メドレー,55～59歳,8,捶井,,,泰子   セ・用賀,5/ 9,1:47.58,,個人
1,女子,100m個人メドレー,55～59歳,9,山田,,,智子   セ・慶應日吉,3/ 3,1:49.97,,個人
1,女子,100m個人メドレー,55～59歳,10,冨樫真樹子,,,セ・用賀,4/ 8,1:52.21,,個人
1,女子,100m個人メドレー,55～59歳,11,江頭由美子,,,セ・袖ケ浦,4/ 2,1:53.05,,個人
1,女子,100m個人メドレー,55～59歳,12,山口,,,仁子   セ・上池袋,3/ 5,1:55.59,,個人
1,女子,100m個人メドレー,55～59歳,13,佐々木夕子,,,セ・市ヶ尾,3/ 1,2:05.38,,個人
1,女子,100m個人メドレー,50～54歳,1,池田百合子,,,セ・市ヶ尾,10/ 6,1:13.85,･大会新,個人
1,女子,100m個人メドレー,50～54歳,2,広瀬百合香,,,セ・武蔵小杉,10/ 2,1:20.22,,個人
1,女子,100m個人メドレー,50～54歳,3,木村美佐子,,,セ・南宇都宮,9/ 5,1:20.79,,個人
1,女子,100m個人メドレー,50～54歳,4,小泉,,,未歌   セ・宇都宮,9/ 7,1:22.94,,個人
1,女子,100m個人メドレー,50～54歳,5,高間,,,智子   セ・自由が丘,6/ 6,1:43.74,,個人
1,女子,100m個人メドレー,50～54歳,6,磯村麻衣子,,,セ・上池袋,3/ 6,1:46.02,,個人
1,女子,100m個人メドレー,50～54歳,7,福田ユリヤ,,,セ・南青山,4/ 5,1:55.40,,個人
1,女子,100m個人メドレー,50～54歳,8,平野,,,真紀   セ・福生,1/ 4,2:13.30,,個人
1,女子,100m個人メドレー,45～49歳,1,北國友理子,,,セ・二俣川,10/10,1:20.37,,個人
1,女子,100m個人メドレー,45～49歳,2,野田りょうこ,,,セ・西東京,10/ 8,1:21.82,,個人
1,女子,100m個人メドレー,45～49歳,3,関,,,康代   セ・宇都宮,9/ 1,1:29.22,,個人
1,女子,100m個人メドレー,45～49歳,4,藤本,,,淑恵   セ・平塚,8/10,1:32.77,,個人
1,女子,100m個人メドレー,45～49歳,5,芳賀加代子,,,セ・南青山,7/ 1,1:33.70,,個人
1,女子,100m個人メドレー,45～49歳,6,溝井花代子,,,セ・葛西,7/ 7,1:34.16,,個人
1,女子,100m個人メドレー,45～49歳,7,佐藤,,,桂子   セ・横浜,7/ 8,1:37.40,,個人
1,女子,100m個人メドレー,45～49歳,8,土井,,,直子   ザバス川崎,5/10,1:37.94,,個人
1,女子,100m個人メドレー,45～49歳,9,前田由希映,,,セ・二俣川,6/ 2,1:40.16,,個人
1,女子,100m個人メドレー,45～49歳,10,赤坂恵美子,,,セ・志木,4/10,1:50.56,,個人
1,女子,100m個人メドレー,45～49歳,11,成重,,,夏紀   セ・藤沢,4/ 3,1:53.01,,個人
1,女子,100m個人メドレー,45～49歳,12,棈野,,,美紀   セ・慶應日吉,3/ 8,2:04.50,,個人
1,女子,100m個人メドレー,45～49歳,13,市原,,,綾子   セ・Ｓ湘南台,2/ 7,2:08.50,,個人
1,女子,100m個人メドレー,45～49歳,14,安垣,,,真美   セ・南青山,4/ 7,2:10.96,,個人
1,女子,100m個人メドレー,40～44歳,1,中村可奈子,,,セ・おおたか,9/ 4,1:24.39,,個人
1,女子,100m個人メドレー,40～44歳,2,山田未紗子,,,セ・越谷,8/ 9,1:30.13,,個人
1,女子,100m個人メドレー,40～44歳,3,大竹,,,昌子   セ・大森,8/ 2,1:31.11,,個人
1,女子,100m個人メドレー,35～39歳,1,宮下,,,奏子   セ・市ヶ尾,10/ 3,1:16.31,,個人
1,女子,100m個人メドレー,35～39歳,2,大家 萌実,,,セ・用賀,9/ 3,1:26.58,,個人
1,女子,100m個人メドレー,35～39歳,3,久保美由紀,,,セ・長津田,5/ 1,1:43.37,,個人
1,女子,100m個人メドレー,35～39歳,4,李,,,鎬善   セ・目黒,4/ 1,1:49.20,,個人
1,女子,100m個人メドレー,30～34歳,1,遠藤,,,桃   セ・越谷,10/ 4,1:11.85,,個人
1,女子,100m個人メドレー,30～34歳,2,大和久佳江,,,セ・袖ケ浦,9/ 8,1:16.27,,個人
1,女子,100m個人メドレー,30～34歳,3,大椛,,,詩織   セ・葛西,10/ 9,1:17.49,,個人
1,女子,100m個人メドレー,30～34歳,4,片桐由里恵,,,セ・Ｓ湘南台,7/ 3,1:27.47,,個人
1,女子,100m個人メドレー,30～34歳,5,井上,,,唯   セ・慶應日吉,8/ 5,1:29.46,,個人
1,女子,100m個人メドレー,30～34歳,6,髙橋,,,未沙   セ・おおたか,6/ 3,1:34.03,,個人
1,女子,100m個人メドレー,30～34歳,7,渡邉,,,茜   セ・袖ケ浦,6/ 7,1:44.13,,個人
1,女子,100m個人メドレー,25～29歳,1,丸,,,玖瑠都   セ・成城,10/ 7,1:18.62,,個人
1,女子,100m個人メドレー,25～29歳,2,石井理桜子,,,セ・市川,10/ 1,1:20.59,,個人
1,女子,100m個人メドレー,18～24歳,1,梶井,,,美杏   セ・清瀬,10/ 5,1:15.08,,個人
1,女子,100m個人メドレー,18～24歳,2,小林,,,楓実   セ・二俣川,8/ 4,1:15.46,,個人
1,女子,100m個人メドレー,18～24歳,3,松井,,,優依   セ・八王子,9/ 2,1:19.90,,個人
1,女子,100m個人メドレー,18～24歳,4,豊田,,,聖華   セ・武蔵小杉,7/10,1:23.61,,個人
1,女子,100m個人メドレー,18～24歳,5,森山 稜子,,,セ・新都心,8/ 7,1:25.41,,個人
1,女子,100m個人メドレー,18～24歳,6,皆川すみれ,,,セ・南青山,8/ 3,1:26.27,,個人
2,男子,100m個人メドレー,80～84歳,1,内田,,,幸稔   セ・松戸,2/ 7,2:16.12,,個人
2,男子,100m個人メドレー,75～79歳,1,伴野,,,保志   セ・阿佐谷,1/ 7,2:10.32,,個人
2,男子,100m個人メドレー,70～74歳,1,吉原,,,一彦   セ・阿佐谷,8/ 1,1:18.82,･大会新,個人
2,男子,100m個人メドレー,70～74歳,2,亀田,,,一麿   セ・東戸塚,5/ 3,1:29.08,,個人
2,男子,100m個人メドレー,70～74歳,3,折居,,,彰   セ・阿佐谷,2/ 5,1:40.32,,個人
2,男子,100m個人メドレー,70～74歳,4,藤田,,,善久   セ・八千代台,3/ 3,1:44.22,,個人
2,男子,100m個人メドレー,70～74歳,5,菱沼,,,和男   セ・葛西,2/ 3,1:47.19,,個人
2,男子,100m個人メドレー,70～74歳,6,安嶋,,,俊夫   セ・茂原,1/ 4,1:51.87,,個人
2,男子,100m個人メドレー,65～69歳,1,和田,,,浩一   セ・用賀,7/ 8,1:14.54,･大会新,個人
2,男子,100m個人メドレー,65～69歳,2,山梨,,,英克   セ・我孫子,4/ 1,1:33.17,,個人
2,男子,100m個人メドレー,65～69歳,3,柏木,,,治久   セ・成瀬,3/ 2,1:37.98,,個人
2,男子,100m個人メドレー,65～69歳,4,竹内,,,新   セ・府中,3/ 7,1:40.55,,個人
2,男子,100m個人メドレー,65～69歳,5,二宮,,,次郎   セ・南宇都宮,3/ 8,1:43.72,,個人
2,男子,100m個人メドレー,65～69歳,6,赤坂,,,吉昭   セ・葛西,3/ 9,1:49.04,,個人
2,男子,100m個人メドレー,65～69歳,7,佐藤,,,信弘   セ・桶川北本,2/ 6,1:49.23,,個人
2,男子,100m個人メドレー,65～69歳,8,菅谷,,,新吾   セ・南青山,2/ 8,1:54.16,,個人
2,男子,100m個人メドレー,60～64歳,1,小倉,,,和彦   セ・清瀬,9/ 8,1:11.01,･大会新,個人
2,男子,100m個人メドレー,60～64歳,2,古木,,,隆介   セ・用賀,9/ 5,1:11.44,,個人
2,男子,100m個人メドレー,60～64歳,3,清水,,,照久   セ・西東京,8/ 2,1:14.56,,個人
2,男子,100m個人メドレー,60～64歳,4,兼森,,,伸兒   ザバス八景,6/ 2,1:23.23,,個人
2,男子,100m個人メドレー,60～64歳,5,神尾,,,尚人   セ・市ヶ尾,5/ 7,1:24.40,,個人
2,男子,100m個人メドレー,60～64歳,6,池谷,,,千尋   セ・長津田,6/ 3,1:25.03,,個人
2,男子,100m個人メドレー,60～64歳,7,中村,,,幸弘   セ・越谷,6/ 7,1:26.35,,個人
2,男子,100m個人メドレー,60～64歳,8,村木,,,満   セ・トレッサ,5/ 9,1:27.85,,個人
2,男子,100m個人メドレー,60～64歳,9,小池,,,輝明   セ・武蔵小杉,3/ 4,1:28.75,,個人
2,男子,100m個人メドレー,60～64歳,10,若島,,,健二   セ・二俣川,5/ 4,1:31.24,,個人
2,男子,100m個人メドレー,60～64歳,11,小島,,,淳   セ・柏,3/ 5,1:31.80,,個人
2,男子,100m個人メドレー,60～64歳,12,伊藤,,,伸彦   セ・横浜,4/ 8,1:32.70,,個人
2,男子,100m個人メドレー,60～64歳,13,渡辺,,,一   セ・市ヶ尾,4/ 6,1:32.97,,個人
2,男子,100m個人メドレー,60～64歳,14,横山,,,恵一   セ・越谷,4/ 4,1:33.93,,個人
2,男子,100m個人メドレー,60～64歳,15,二宮,,,博   セ・横浜,4/ 2,1:34.57,,個人
2,男子,100m個人メドレー,60～64歳,16,宮田,,,豊   セ・西東京,1/ 6,1:36.90,,個人
2,男子,100m個人メドレー,60～64歳,17,高橋,,,潤   セ・成瀬,3/ 1,1:39.25,,個人
2,男子,100m個人メドレー,60～64歳,18,浦田,,,昌和   セ・成城,4/ 7,1:39.79,,個人
2,男子,100m個人メドレー,60～64歳,19,金田,,,雅之   セ・能見台,4/ 9,1:42.11,,個人
2,男子,100m個人メドレー,60～64歳,20,山本,,,勝   セ・慶應日吉,2/ 2,1:56.47,,個人
2,男子,100m個人メドレー,60～64歳,21,青木健一郎,,,セ・慶應日吉,1/ 8,1:58.07,,個人
2,男子,100m個人メドレー,55～59歳,1,村野 雄太,,,セ・清瀬,10/ 1,1:12.31,,個人
2,男子,100m個人メドレー,55～59歳,2,北村,,,洋一   セ・大森,8/10,1:17.32,,個人
2,男子,100m個人メドレー,55～59歳,3,杉原,,,祥之   ザバス鶴見,7/ 2,1:18.40,,個人
2,男子,100m個人メドレー,55～59歳,4,町田,,,克浩   セ・大森,6/ 6,1:18.76,,個人
2,男子,100m個人メドレー,55～59歳,5,成島,,,毅   セ・Ｆ宇都宮,6/10,1:20.82,,個人
2,男子,100m個人メドレー,55～59歳,6,飯田,,,正敏   セ・用賀,6/ 4,1:21.59,,個人
2,男子,100m個人メドレー,55～59歳,7,浅田,,,康朗   セ・大森,7/ 9,1:21.64,,個人
2,男子,100m個人メドレー,55～59歳,8,福田,,,剛紀   Ｇ－ＳＰＡ,6/ 5,1:28.43,,個人
2,男子,100m個人メドレー,55～59歳,9,本間,,,丈博   セ・稲毛海岸,6/ 8,1:28.82,,個人
2,男子,100m個人メドレー,55～59歳,10,高田,,,義久   セ・八王子,5/ 8,1:29.47,,個人
2,男子,100m個人メドレー,55～59歳,11,塚越,,,有宏   セ・市ヶ尾,5/ 6,1:30.61,,個人
2,男子,100m個人メドレー,55～59歳,12,伊藤,,,正二   セ・大森,4/ 5,1:30.68,,個人
2,男子,100m個人メドレー,55～59歳,13,佐藤,,,正章   セ・用賀,5/ 5,1:33.60,,個人
2,男子,100m個人メドレー,55～59歳,14,北村,,,勇   セ・能見台,3/ 6,1:36.78,,個人
2,男子,100m個人メドレー,55～59歳,15,穴田,,,啓樹   セ・慶應日吉,3/10,1:39.93,,個人
2,男子,100m個人メドレー,50～54歳,1,田窪,,,達   セ・市ヶ尾,12/ 2,1:03.37,･大会新,個人
2,男子,100m個人メドレー,50～54歳,2,羽田,,,浩一   セ・成城,10/ 5,1:11.84,,個人
2,男子,100m個人メドレー,50～54歳,3,星野,,,隆   セ・長津田,9/ 2,1:13.62,,個人
2,男子,100m個人メドレー,50～54歳,4,岡村,,,勝重   セ・長津田,8/ 5,1:13.78,,個人
2,男子,100m個人メドレー,50～54歳,5,村上,,,政行   セ・武蔵小杉,8/ 9,1:15.59,,個人
2,男子,100m個人メドレー,50～54歳,6,大橋 克也,,,ザバス川崎,9/ 3,1:16.19,,個人
2,男子,100m個人メドレー,50～54歳,7,足立,,,晃   セ・新川崎,5/ 1,1:21.76,,個人
2,男子,100m個人メドレー,50～54歳,8,平田,,,博之   セ・ときわ台,7/ 3,1:22.08,,個人
2,男子,100m個人メドレー,50～54歳,9,渡,,,誠   セ・清瀬,6/ 1,1:23.10,,個人
2,男子,100m個人メドレー,50～54歳,10,大川,,,明徳   セ・阿佐谷,4/ 3,1:33.65,,個人
2,男子,100m個人メドレー,50～54歳,11,岡田,,,能行   セ・越谷,5/ 2,1:35.68,,個人
2,男子,100m個人メドレー,50～54歳,12,土井,,,満   ザバス川崎,4/10,1:40.41,,個人
2,男子,100m個人メドレー,50～54歳,13,棈野,,,浩一   セ・慶應日吉,1/ 3,2:02.03,,個人
2,男子,100m個人メドレー,45～49歳,1,渡邊,,,忠幸   セ・南宇都宮,9/ 4,1:12.58,,個人
2,男子,100m個人メドレー,45～49歳,2,桐本,,,兼輔   セ・福生,9/ 9,1:15.34,,個人
2,男子,100m個人メドレー,45～49歳,3,高瀬,,,信雄   ザバス川崎,6/ 9,1:23.02,,個人
2,男子,100m個人メドレー,40～44歳,1,坂田,,,龍亮   セ・南千住,11/ 5,1:04.54,,個人
2,男子,100m個人メドレー,40～44歳,2,森本,,,祐一   セ・清瀬,9/ 6,1:09.46,,個人
2,男子,100m個人メドレー,40～44歳,3,澤田,,,聡志   ザバス八景,8/ 6,1:11.96,,個人
2,男子,100m個人メドレー,40～44歳,4,浅岡,,,遼   セ・用賀,7/ 5,1:15.01,,個人
2,男子,100m個人メドレー,35～39歳,1,立石裕太郎,,,セ・二俣川,12/ 4,58.17,･大会新,個人
2,男子,100m個人メドレー,35～39歳,2,前田 康輔,,,セ・二俣川,12/ 5,58.59,･大会新,個人
2,男子,100m個人メドレー,35～39歳,3,古川,,,貴章   セ・おおたか,11/ 6,1:05.28,,個人
2,男子,100m個人メドレー,35～39歳,4,木村,,,考太   セ・市ヶ尾,10/10,1:07.63,,個人
2,男子,100m個人メドレー,35～39歳,5,長田,,,裕史   セ・柏,11/ 2,1:09.36,,個人
2,男子,100m個人メドレー,35～39歳,6,馬場,,,達   ザバス鶴見,5/10,1:22.46,,個人
2,男子,100m個人メドレー,30～34歳,1,小野,,,健   セ・天王洲,12/ 8,1:01.29,,個人
2,男子,100m個人メドレー,30～34歳,2,今里,,,昂哉   セ・清瀬,12/ 9,1:02.38,,個人
2,男子,100m個人メドレー,30～34歳,3,塚本,,,拓也   セ・清瀬,10/ 6,1:04.46,,個人
2,男子,100m個人メドレー,30～34歳,4,石井,,,孟   セ・葛西,11/ 3,1:04.48,,個人
2,男子,100m個人メドレー,30～34歳,5,土屋,,,大貴   セ・平塚,12/ 1,1:05.77,,個人
2,男子,100m個人メドレー,30～34歳,6,浅野,,,裕太   セ・横浜,8/ 4,1:10.93,,個人
2,男子,100m個人メドレー,30～34歳,7,小野,,,明良   セ・成城,7/ 1,1:17.14,,個人
2,男子,100m個人メドレー,30～34歳,8,江沢,,,純也   セ・我孫子,7/ 6,1:18.49,,個人
2,男子,100m個人メドレー,25～29歳,1,石井,,,了   セ・おおたか,12/ 6,1:00.32,,個人
2,男子,100m個人メドレー,25～29歳,2,廣川,,,大起   セ・柏,10/ 8,1:02.47,,個人
2,男子,100m個人メドレー,25～29歳,3,小林,,,和矢   セ・成城,11/ 9,1:03.06,,個人
2,男子,100m個人メドレー,25～29歳,4,神戸優悠希,,,セ・茂原,12/10,1:03.43,,個人
2,男子,100m個人メドレー,25～29歳,5,中村,,,翼   セ・天王洲,10/ 4,1:03.90,,個人
2,男子,100m個人メドレー,25～29歳,6,田中壮一郎,,,セ・二俣川,11/ 4,1:04.01,,個人
2,男子,100m個人メドレー,25～29歳,7,岡内,,,昭伍   セ・新浦安,12/ 3,1:04.22,,個人
2,男子,100m個人メドレー,25～29歳,8,青木,,,陽輝   セ・西東京,10/ 3,1:05.60,,個人
2,男子,100m個人メドレー,25～29歳,9,牧村,,,高志   セ・武蔵小杉,7/ 7,1:06.05,,個人
2,男子,100m個人メドレー,25～29歳,10,泉,,,翔太   セ・葛西,8/ 7,1:06.96,,個人
2,男子,100m個人メドレー,18～24歳,1,三角,,,一汰   セ・新都心,12/ 7,1:02.93,,個人
2,男子,100m個人メドレー,18～24歳,2,相原,,,海星   セ・平塚,9/ 1,1:04.52,,個人
2,男子,100m個人メドレー,18～24歳,3,織戸,,,友宏   セ・葛西,10/ 9,1:05.89,,個人
2,男子,100m個人メドレー,18～24歳,4,荒井,,,優吾   セ・成瀬,11/ 7,1:06.70,,個人
2,男子,100m個人メドレー,18～24歳,5,南,,,里輝   セ・蒲田,10/ 2,1:06.96,,個人
2,男子,100m個人メドレー,18～24歳,6,村田,,,雅治   セ・長津田,11/ 1,1:07.31,,個人
2,男子,100m個人メドレー,18～24歳,7,重高,,,良彦   セ・能見台,11/ 8,1:07.81,,個人
2,男子,100m個人メドレー,18～24歳,8,遠藤,,,優太   セ・越谷,8/ 8,1:08.77,,個人
2,男子,100m個人メドレー,18～24歳,9,山下,,,智也   セ・Ｓ湘南台,9/ 7,1:09.62,,個人
2,男子,100m個人メドレー,18～24歳,10,伊藤,,,水晶   セ・松戸,9/10,1:11.37,,個人
2,男子,100m個人メドレー,18～24歳,11,西沢,,,歩   セ・清瀬,8/ 3,1:12.83,,個人
2,男子,100m個人メドレー,18～24歳,12,西野宮源希,,,セ・長津田,7/10,1:19.20,,個人
3,女子,4×25mメドレーリレー,320～359歳,1,,セ・松戸,322歳,セ・松戸,1/ 4,1:47.12,,リレー
3,女子,4×25mメドレーリレー,280～319歳,1,,セ・葛西,290歳,セ・葛西,3/ 9,1:20.85,,リレー
3,女子,4×25mメドレーリレー,280～319歳,2,,セ・慶應日吉,284歳,セ・慶應日吉,2/ 6,1:26.61,,リレー
3,女子,4×25mメドレーリレー,280～319歳,3,,セ・成城,283歳,セ・成城,2/ 9,1:32.18,,リレー
3,女子,4×25mメドレーリレー,280～319歳,4,,セ・おおたか,288歳,セ・おおたか,1/ 3,1:32.63,,リレー
3,女子,4×25mメドレーリレー,280～319歳,5,,セ・新浦安,280歳,セ・新浦安,2/ 5,1:32.87,,リレー
3,女子,4×25mメドレーリレー,280～319歳,6,,セ・二俣川,282歳,セ・二俣川,2/ 1,1:35.39,,リレー
3,女子,4×25mメドレーリレー,280～319歳,7,,セ・南千住,296歳,セ・南千住,1/ 6,1:39.27,,リレー
3,女子,4×25mメドレーリレー,280～319歳,8,,セ・慶應日吉,281歳,セ・慶應日吉,1/ 8,1:54.32,,リレー
3,女子,4×25mメドレーリレー,280～319歳,9,,セ・桶川北本,280歳,セ・桶川北本,1/ 9,1:57.44,,リレー
3,女子,4×25mメドレーリレー,240～279歳,1,,セ・二俣川,251歳,セ・二俣川,3/ 4,1:14.46,,リレー
3,女子,4×25mメドレーリレー,240～279歳,2,,セ・越谷,240歳,セ・越谷,3/ 2,1:14.89,,リレー
3,女子,4×25mメドレーリレー,240～279歳,3,,セ・清瀬,240歳,セ・清瀬,3/ 1,1:17.12,,リレー
3,女子,4×25mメドレーリレー,240～279歳,4,,セ・慶應日吉,249歳,セ・慶應日吉,3/ 7,1:17.61,,リレー
3,女子,4×25mメドレーリレー,240～279歳,5,,セ・西東京,252歳,セ・西東京,4/ 9,1:19.24,,リレー
3,女子,4×25mメドレーリレー,240～279歳,6,,セ・天王洲,259歳,セ・天王洲,2/ 4,1:21.00,,リレー
3,女子,4×25mメドレーリレー,240～279歳,7,,セ・松戸,258歳,セ・松戸,2/ 7,1:26.92,,リレー
3,女子,4×25mメドレーリレー,240～279歳,8,,セ・我孫子,269歳,セ・我孫子,1/ 2,1:38.10,,リレー
3,女子,4×25mメドレーリレー,240～279歳,9,,セ・上池袋,271歳,セ・上池袋,2/ 8,1:41.74,,リレー
3,女子,4×25mメドレーリレー,200～239歳,1,,セ・阿佐谷,224歳,セ・阿佐谷,4/ 4,1:10.72,,リレー
3,女子,4×25mメドレーリレー,200～239歳,2,,セ・市ヶ尾,214歳,セ・市ヶ尾,3/ 6,1:11.53,,リレー
3,女子,4×25mメドレーリレー,200～239歳,3,,セ・南千住,204歳,セ・南千住,4/ 8,1:11.99,,リレー
3,女子,4×25mメドレーリレー,200～239歳,4,,セ・おおたか,201歳,セ・おおたか,2/ 3,1:12.45,,リレー
3,女子,4×25mメドレーリレー,200～239歳,5,,セ・松戸,219歳,セ・松戸,3/ 8,1:14.31,,リレー
3,女子,4×25mメドレーリレー,200～239歳,6,,セ・二俣川,231歳,セ・二俣川,4/ 7,1:18.83,,リレー
3,女子,4×25mメドレーリレー,200～239歳,7,,セ・志木,218歳,セ・志木,1/ 5,1:27.30,,リレー
3,女子,4×25mメドレーリレー,200～239歳,8,,CS南行徳,222歳,CS南行徳,3/10,1:29.11,,リレー
3,女子,4×25mメドレーリレー,200～239歳,9,,セ・西新井,200歳,セ・西新井,1/ 7,1:37.24,,リレー
3,女子,4×25mメドレーリレー,160～199歳,1,,セ・袖ケ浦,160歳,セ・袖ケ浦,4/ 6,1:03.85,,リレー
3,女子,4×25mメドレーリレー,160～199歳,2,,セ・二俣川,185歳,セ・二俣川,4/ 1,1:13.69,,リレー
3,女子,4×25mメドレーリレー,160～199歳,3,,セ・上池袋,193歳,セ・上池袋,2/ 2,1:19.74,,リレー
3,女子,4×25mメドレーリレー,120～159歳,1,,セ・葛西,159歳,セ・葛西,4/10,1:06.57,,リレー
3,女子,4×25mメドレーリレー,120～159歳,2,,セ・慶應日吉,159歳,セ・慶應日吉,4/ 3,1:10.88,,リレー
3,女子,4×25mメドレーリレー,120～159歳,3,,セ・柏,146歳,セ・柏,4/ 2,1:15.79,,リレー
3,女子,4×25mメドレーリレー,120～159歳,4,,セ・天王洲,159歳,セ・天王洲,3/ 5,1:16.75,,リレー
3,女子,4×25mメドレーリレー,72～119歳,1,,セ・成城,99歳,セ・成城,4/ 5,1:04.23,,リレー
3,女子,4×25mメドレーリレー,72～119歳,2,,セ・二俣川,92歳,セ・二俣川,3/ 3,1:14.31,,リレー
4,男子,4×25mメドレーリレー,280～319歳,1,,セ・阿佐谷,290歳,セ・阿佐谷,1/ 8,1:17.81,,リレー
4,男子,4×25mメドレーリレー,280～319歳,2,,セ・越谷,288歳,セ・越谷,1/ 3,1:18.40,,リレー
4,男子,4×25mメドレーリレー,280～319歳,3,,セ・おおたか,294歳,セ・おおたか,1/ 1,1:46.89,,リレー
4,男子,4×25mメドレーリレー,240～279歳,1,,セ・おおたか,242歳,セ・おおたか,2/ 5,1:02.78,,リレー
4,男子,4×25mメドレーリレー,240～279歳,2,,セ・長津田,242歳,セ・長津田,3/10,1:03.49,,リレー
4,男子,4×25mメドレーリレー,240～279歳,3,,セ・二俣川,243歳,セ・二俣川,1/ 4,1:05.30,,リレー
4,男子,4×25mメドレーリレー,240～279歳,4,,セ・成城,247歳,セ・成城,2/ 2,1:05.97,,リレー
4,男子,4×25mメドレーリレー,240～279歳,5,,セ・市ヶ尾,246歳,セ・市ヶ尾,1/ 5,1:09.54,,リレー
4,男子,4×25mメドレーリレー,240～279歳,6,,セ・葛西,257歳,セ・葛西,1/ 7,1:14.93,,リレー
4,男子,4×25mメドレーリレー,240～279歳,7,,セ・西東京,276歳,セ・西東京,2/10,1:15.54,,リレー
